__id,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location_address,location_city,location_state,location_zip,location.type,location.coordinates,location
row-btuu~sgk2-jawn,60781875,2024-04-05T09:49:04.000,2024-04-17T11:08:31.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10039,133 WEST  145 STREET,WEST  145 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-04-17T00:00:00.000,10 MANHATTAN,1020140020,MANHATTAN,1001614.0,238353.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.820882482821425,-73.93726380714719,,,,,Point,"[-73.93726380714719, 40.820882482821425]",
row-bx4r~ffqj-6cg7,60810966,2024-04-07T20:27:51.000,2024-06-07T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10016,312 EAST   30 STREET,EAST   30 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2024-06-07T00:00:00.000,06 MANHATTAN,1009350053,MANHATTAN,990635.0,209589.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74194769621901,-73.97695830563991,,,,,Point,"[-73.97695830563991, 40.74194769621901]",
row-hydc.g9rh_25aj,60195967,2024-01-31T07:45:24.000,2024-04-15T09:20:33.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10001,435 WEST   31 STREET,WEST   31 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2024-04-15T00:00:00.000,04 MANHATTAN,1007297502,MANHATTAN,984558.0,213251.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7520012661238,-73.99888834567965,,,,,Point,"[-73.99888834567965, 40.7520012661238]",
row-s685_w2k4_arvt,60787245,2024-04-04T21:45:06.000,2024-04-04T21:45:06.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11416,74-32 95 AVENUE,95 AVENUE,,,,,ADDRESS,OZONE PARK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2024-04-04T00:00:00.000,09 QUEENS,4089990020,QUEENS,1021979.0,187922.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68239883774436,-73.86396803157497,,,,,Point,"[-73.86396803157497, 40.68239883774436]",
row-mqmi~uigd_sj6u,60815543,2024-04-08T20:32:14.000,2024-04-08T20:32:14.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11385,62-40 80 ROAD,80 ROAD,,,,,ADDRESS,RIDGEWOOD,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2024-04-08T00:00:00.000,05 QUEENS,4037320098,QUEENS,1014608.0,192502.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69499822493833,-73.89052351485438,,,,,Point,"[-73.89052351485438, 40.69499822493833]",
row-2gab.saih_6zg5,39472248,2018-06-15T15:39:39.000,2025-01-11T03:45:35.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,10020,610 5TH AVE,5TH AVE,,,,,LATLONG,NEW YORK,,,Closed,2018-07-22T15:39:39.000,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.",2025-01-11T03:45:38.000,05 MANHATTAN,,MANHATTAN,990430.0,215451.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.758037552191055,-73.97769270664865,,,,,Point,"[-73.97769270664865, 40.758037552191055]",
row-n9xx_trjr_9ddx,60780662,2024-04-05T09:49:04.000,2024-04-17T11:08:31.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10039,133 WEST  145 STREET,WEST  145 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-04-17T00:00:00.000,10 MANHATTAN,1020140020,MANHATTAN,1001614.0,238353.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.820882482821425,-73.93726380714719,,,,,Point,"[-73.93726380714719, 40.820882482821425]",
row-assj~qnmp-pvpz,60831095,2024-04-10T01:52:21.000,2024-04-10T10:06:24.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,1776 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2024-04-10T00:00:00.000,09 BROOKLYN,3013180051,BROOKLYN,996146.0,180690.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.662621037248805,-73.95712168592684,,,,,Point,"[-73.95712168592684, 40.662621037248805]",
row-aq5h_nj5q.yyn7,31720289,2015-10-09T11:46:00.000,2024-01-31T08:00:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11204,,,,,19 AVENUE,55 STREET,INTERSECTION,BROOKLYN,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, a defect was found done.",2024-01-31T08:00:00.000,12 BROOKLYN,,BROOKLYN,989207.0,166447.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62353366961309,-73.98214329838454,,,,,Point,"[-73.98214329838454, 40.62353366961309]",
row-66nj.pevr~xnjd,20426560,2011-03-08T15:51:18.000,2011-09-08T00:00:00.000,DOB,Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,,11435,143-15 BRINKERHOFF AVENUE,BRINKERHOFF AVENUE,143 STREET,INWOOD STREET,,,ADDRESS,JAMAICA,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2011-09-08T00:00:00.000,12 QUEENS,4119360053,QUEENS,1039359.0,189512.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.686671869785535,-73.80129159116144,,,,,Point,"[-73.80129159116144, 40.686671869785535]",
row-br65-ecnn~a9tm,35632432,2017-03-05T13:55:00.000,2024-09-23T21:00:00.000,DOT,Department of Transportation,Street Light Condition,Traffic Signal Light,,10014,,,BLEECKER ST,CHRISTOPHER ST,BLEECKER STREET,CHRISTOPHER STREET,INTERSECTION,MANHATTAN,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2017-04-04T00:00:00.000,02 MANHATTAN,,MANHATTAN,983065.0,206471.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73339178356919,-74.00427578724862,,,,,Point,"[-74.00427578724862, 40.73339178356919]",
row-9arc-zn89.mg86,60793631,2024-04-05T20:07:32.000,2024-10-02T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11693,12 WEST   14 ROAD,WEST   14 ROAD,,,,,ADDRESS,FAR ROCKAWAY,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2024-10-02T00:00:00.000,14 QUEENS,4153190028,QUEENS,1034026.0,159047.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.60308379199553,-73.82074570348308,,,,,Point,"[-73.82074570348308, 40.60308379199553]",
row-cdz4-z75x-wcvk,39474263,2018-06-15T16:43:27.000,2025-01-11T03:26:53.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,10019,,,7 AVENUE,WEST   51 STREET,7 AVENUE,WEST   51 STREET,INTERSECTION,NEW YORK,,,Closed,2018-07-22T16:43:27.000,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.",2025-01-11T03:26:57.000,05 MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
row-pe6d~6wfh-zp9b,61101637,2024-05-08T12:18:56.000,2024-05-10T09:17:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10458,2654 MARION AVENUE,MARION AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-05-10T00:00:00.000,07 BRONX,2032820019,BRONX,1014471.0,254313.0,PHONE,Unspecified,BRONX,,,,,,,,40.8646533501921,-73.89073953501469,,,,,Point,"[-73.89073953501469, 40.8646533501921]",
row-qrju-wvar-pnkg,60820740,2024-04-08T19:55:45.000,2024-04-08T19:55:45.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11357,163-37 15 DRIVE,15 DRIVE,,,,,ADDRESS,WHITESTONE,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2024-04-08T00:00:00.000,07 QUEENS,4047630067,QUEENS,1039817.0,225390.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.78514498962216,-73.79934383536914,,,,,Point,"[-73.79934383536914, 40.78514498962216]",
row-niy3_y3cj.mpyh,60852928,2024-04-13T18:43:00.000,2024-04-13T22:35:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10128,,,,,EAST 96 STREET,LEXINGTON AVENUE,INTERSECTION,MANHATTAN,,,Closed,,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2024-04-13T22:35:00.000,08 MANHATTAN,,MANHATTAN,997839.0,225593.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.785866405885606,-73.9509287180596,,,,,Point,"[-73.9509287180596, 40.785866405885606]",
row-xjr4~zfxw_jkcn,61101641,2024-05-08T13:25:36.000,2024-05-12T07:46:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11214,8301 BAY PARKWAY,BAY PARKWAY,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-05-12T00:00:00.000,11 BROOKLYN,3063310006,BROOKLYN,986439.0,159170.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.603560922699764,-73.99211687990359,,,,,Point,"[-73.99211687990359, 40.603560922699764]",
row-xqp9-w8uw-bx2r,60829882,2024-04-10T01:04:20.000,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10471,5400 FIELDSTON ROAD,FIELDSTON ROAD,,,,,ADDRESS,BRONX,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2024-04-10T00:00:00.000,08 BRONX,2058451799,BRONX,1011450.0,268032.0,MOBILE,Unspecified,BRONX,,,,,,,,40.90231752133392,-73.9016058820673,,,,,Point,"[-73.9016058820673, 40.90231752133392]",
row-fwgx_nane_2g6a,60891906,2024-04-16T16:04:00.000,2024-04-19T13:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11201,167 CLINTON STREET,CLINTON STREET,SCHERMERHORN ST,STATE ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,2024-04-19T13:45:00.000,02 BROOKLYN,3002700022,BROOKLYN,985917.0,191022.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.690987879185315,-73.99398885707612,,,,,Point,"[-73.99398885707612, 40.690987879185315]",
row-d4vr~zsxu_ry5z,61101647,2024-05-08T08:36:36.000,2024-05-13T10:38:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10032,2087 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2024-05-13T00:00:00.000,12 MANHATTAN,1021100063,MANHATTAN,1001083.0,244141.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.83676991167256,-73.9391677889259,,,,,Point,"[-73.9391677889259, 40.83676991167256]",
row-zvpe_tuak~xs8r,60861064,2024-04-14T15:25:00.000,,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11217,250 NEVINS STREET,NEVINS STREET,DOUGLASS ST,DEGRAW ST,,,ADDRESS,BROOKLYN,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2024-04-14T18:00:00.000,06 BROOKLYN,,BROOKLYN,988036.0,187260.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68066139714323,-73.98634993216069,,,,,Point,"[-73.98634993216069, 40.68066139714323]",
row-znih_46r3.wmvx,38088609,2018-01-02T07:41:17.000,2018-01-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,11361,34-38 BELL BOULEVARD,BELL BOULEVARD,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2018-01-25T00:00:00.000,11 QUEENS,4061120041,QUEENS,1046873.0,219726.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76955167373168,-73.77391704083892,,,,,Point,"[-73.77391704083892, 40.76955167373168]",
row-qn8v-v22s-ep85,38462907,2018-02-13T10:30:27.000,2024-06-27T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11416,84-02 102 AVENUE,102 AVENUE,,,,,ADDRESS,OZONE PARK,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-06-27T00:00:00.000,09 QUEENS,4090850001,QUEENS,1024535.0,187413.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.680990486595235,-73.85475542887298,,,,,Point,"[-73.85475542887298, 40.680990486595235]",
row-zby6-ijyn~nyu9,38914493,2018-04-11T11:21:38.000,,DOT,Department of Transportation,Street Condition,Wear & Tear,,10306,3333 HYLAN BOULEVARD,HYLAN BOULEVARD,HOPKINS AVENUE,SPRATT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,,The Department of Transportation inspected this complaint and repaired the problem.,2024-06-28T11:00:00.000,03 STATEN ISLAND,5049870001,STATEN ISLAND,948254.0,141596.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.55525097825153,-74.12953664612695,,,,,Point,"[-74.12953664612695, 40.55525097825153]",
row-qerm_hxrh~e7qz,51931501,2021-09-20T13:27:00.000,2025-03-06T10:39:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Damaged,,11385,,,,,SENECA AVENUE,BLEECKER STREET,INTERSECTION,QUEENS,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2021-09-23T12:43:00.000,05 QUEENS,,QUEENS,1008816.0,196140.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70500165283654,-73.91139723747871,,,,,Point,"[-73.91139723747871, 40.70500165283654]",
row-d543.vhqy~wj33,51536730,2021-08-15T19:55:56.000,2021-08-15T21:38:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,194-05 111 ROAD,111 ROAD,194 STREET,196 STREET,194 STREET,196 STREET,,SAINT ALBANS,111 ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-08-15T21:38:39.000,12 QUEENS,4109520027,QUEENS,1050332.0,195112.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70196739221347,-73.7616711109681,,,,,Point,"[-73.7616711109681, 40.70196739221347]",
row-ie5j-piq7-ytpw,51536731,2021-08-15T01:38:29.000,2021-08-15T03:34:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11413,145-98 226 STREET,226 STREET,145 ROAD,146 AVENUE,145 ROAD,146 AVENUE,,SPRINGFIELD GARDENS,226 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T03:34:36.000,13 QUEENS,4134730065,QUEENS,1052277.0,179878.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.66013894882634,-73.75481016884969,,,,,Point,"[-73.75481016884969, 40.66013894882634]",
row-jd8n_9yu7~9mbs,51536732,2021-08-16T00:29:41.000,2021-08-16T00:44:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,937 EAST   95 STREET,EAST   95 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,,BROOKLYN,EAST   95 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-16T00:45:00.000,18 BROOKLYN,3081450025,BROOKLYN,1010074.0,174908.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64672105226494,-73.90694133533734,,,,,Point,"[-73.90694133533734, 40.64672105226494]",
row-5fyt.9vev~r2sn,51536733,2021-08-15T22:21:50.000,2021-08-15T22:40:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,991 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,,BROOKLYN,WILLOUGHBY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T22:41:02.000,04 BROOKLYN,3031840060,BROOKLYN,1003867.0,193838.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6986955600991,-73.92925360744465,,,,,Point,"[-73.92925360744465, 40.6986955600991]",
row-ywh3.yzk4~tkf9,51536734,2021-08-15T01:29:21.000,2021-08-15T02:34:10.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,153 ESSEX STREET,ESSEX STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,,NEW YORK,ESSEX STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-08-15T02:34:14.000,03 MANHATTAN,1004117504,MANHATTAN,987822.0,201843.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72068840874191,-73.98711375448764,,,,,Point,"[-73.98711375448764, 40.72068840874191]",
row-pbrz~endg.a3nf,51536735,2021-08-15T07:09:41.000,2021-08-15T09:09:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,75 EAST   95 STREET,EAST   95 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST NEW YORK AVENUE,RUTLAND ROAD,,BROOKLYN,EAST   95 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2021-08-15T09:09:47.000,17 BROOKLYN,3045980058,BROOKLYN,1004792.0,181121.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66378819872457,-73.92595647197638,,,,,Point,"[-73.92595647197638, 40.66378819872457]",
row-sxtp_hwui~dvw9,51536736,2021-08-14T15:43:00.000,2021-08-18T12:00:00.000,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11215,257 15 STREET,15 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,2021-08-18T12:00:00.000,06 BROOKLYN,3010420059,BROOKLYN,987630.0,181500.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66485165415841,-73.98781661543379,,,,,Point,"[-73.98781661543379, 40.66485165415841]",
row-863p-wpsi.tcdh,51536737,2021-08-14T14:06:00.000,2021-08-17T12:00:00.000,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11226,402 OCEAN AVENUE,OCEAN AVENUE,CROOKE AVENUE,CATON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,2021-08-17T12:00:00.000,14 BROOKLYN,3050610030,BROOKLYN,994911.0,177192.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65302136936349,-73.96157868807671,,,,,Point,"[-73.96157868807671, 40.65302136936349]",
row-d8it_ykgp_ruzw,51536738,2021-08-15T21:38:09.000,2021-08-15T22:35:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,149 WEST TREMONT AVENUE,WEST TREMONT AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,,BRONX,WEST TREMONT AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-08-15T22:35:35.000,05 BRONX,2028680001,BRONX,1007808.0,249039.0,MOBILE,Unspecified,BRONX,,,,,,,,40.85019810236844,-73.91484734458432,,,,,Point,"[-73.91484734458432, 40.85019810236844]",
row-xizz.25b9_2g2f,51536739,2021-08-15T06:06:58.000,2021-08-15T06:44:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10001,42 WEST   33 STREET,WEST   33 STREET,5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,,NEW YORK,WEST   33 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T06:44:58.000,05 MANHATTAN,1008340069,MANHATTAN,987535.0,212178.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74905554727879,-73.98814408123663,,,,,Point,"[-73.98814408123663, 40.74905554727879]",
row-2dje-3cxp-5w3s,51536740,2021-08-15T22:14:21.000,2021-08-15T22:39:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,90-56 178 STREET,178 STREET,90 AVENUE,JAMAICA AVENUE,90 AVENUE,JAMAICA AVENUE,,JAMAICA,178 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T22:39:30.000,12 QUEENS,4098120070,QUEENS,1044074.0,197963.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7098372117771,-73.7842155563856,,,,,Point,"[-73.7842155563856, 40.7098372117771]",
row-hgpd_5imb-8vfk,51536741,2021-08-15T04:43:16.000,2021-08-15T04:56:31.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2530 JEROME AVENUE,JEROME AVENUE,EAST  190 STREET,WEST  192 STREET,EAST  190 STREET,WEST  192 STREET,,BRONX,JEROME AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T04:56:35.000,07 BRONX,2031760001,BRONX,1012051.0,254355.0,ONLINE,Unspecified,BRONX,,,,,,,,40.86477658048676,-73.89948857765437,,,,,Point,"[-73.89948857765437, 40.86477658048676]",
row-cmek~ejqm-njaf,51536742,2021-08-15T04:24:09.000,2021-08-15T10:37:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11106,34-02 34 AVENUE,34 AVENUE,34 STREET,35 STREET,34 STREET,35 STREET,,ASTORIA,34 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-08-15T10:37:41.000,01 QUEENS,4006420028,QUEENS,1005103.0,215621.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.75848172733981,-73.92472861772626,,,,,Point,"[-73.92472861772626, 40.75848172733981]",
row-g63i-h57n.du6s,51536743,2021-08-15T03:19:22.000,2021-08-15T03:54:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,1469 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  183 STREET,WEST  184 STREET,WEST  183 STREET,WEST  184 STREET,,NEW YORK,ST NICHOLAS AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,2021-08-15T03:54:23.000,12 MANHATTAN,1021650065,MANHATTAN,1002880.0,249256.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85080547613536,-73.93265946333815,,,,,Point,"[-73.93265946333815, 40.85080547613536]",
row-4z69.jiyk_5guj,51536744,2021-08-15T20:31:29.000,2021-08-15T20:54:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,78-15 90 AVENUE,90 AVENUE,78 STREET,80 STREET,78 STREET,80 STREET,,WOODHAVEN,90 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T20:54:20.000,09 QUEENS,4089090031,QUEENS,1022344.0,189905.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68784014957814,-73.862640814367,,,,,Point,"[-73.862640814367, 40.68784014957814]",
row-b892.j8rd-37m4,51536745,2021-08-15T20:52:01.000,2021-08-15T21:30:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,AVENUE I,AVENUE I,AVENUE I,EAST   52 STREET,AVENUE I,EAST   52 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T21:30:15.000,18 BROOKLYN,,BROOKLYN,1004741.0,169040.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63062859657839,-73.9261769996276,,,,,Point,"[-73.9261769996276, 40.63062859657839]",
row-2m26~u9u9_4wvs,61199857,2024-05-19T09:04:06.000,2024-05-19T09:04:06.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,3320 RESERVOIR OVAL,RESERVOIR OVAL,HOLT PLACE,RESERVOIR PLACE,HOLT PLACE,RESERVOIR PLACE,ADDRESS,BRONX,RESERVOIR OVAL EAST,N/A,Closed,,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.,2024-06-05T14:00:00.000,07 BRONX,2033430126,BRONX,1018525.0,258826.0,PHONE,Unspecified,BRONX,,,,,,,,40.877025332154346,-73.87605970842891,,,,,Point,"[-73.87605970842891, 40.877025332154346]",
row-rjgq.qazf.qn5c,51536746,2021-08-15T21:03:06.000,2021-08-15T21:14:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,1615 ARNOW AVENUE,ARNOW AVENUE,MICKLE AVENUE,KINGSLAND AVENUE,MICKLE AVENUE,KINGSLAND AVENUE,,BRONX,ARNOW AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2021-08-15T21:14:38.000,12 BRONX,2047840037,BRONX,1028384.0,255594.0,ONLINE,Unspecified,BRONX,,,,,,,,40.86811070542256,-73.8404303799118,,,,,Point,"[-73.8404303799118, 40.86811070542256]",
